Station Number,Year,Satellite Average
1104,2014,2.740958904109589
1108,1981,3.147123287671233
1108,1982,2.188082191780822
1108,1983,1.7433698630136987
1108,1984,2.5310109289617486
1108,1985,2.6871506849315066
1108,1986,2.444958904109589
1108,1987,2.7565205479452053
1108,1988,2.5103551912568305
1108,1989,1.7947671232876714
1108,1990,2.086767123287671
1108,1991,1.5276986301369864
1108,1992,1.3997814207650274
1108,1993,1.636191780821918
1108,1994,1.208767123287671
1108,1995,1.9398356164383561
1108,1996,1.6246448087431695
1108,1997,1.626219178082192
1108,1998,1.6353698630136986
1108,1999,1.366849315068493
1108,2000,1.8465573770491803
1108,2001,1.7108493150684934
1108,2002,1.58186301369863
1108,2003,1.7916986301369864
1108,2004,3.195382513661202
1108,2005,2.8395616438356166
1108,2006,2.92613698630137
1108,2007,3.263452054794521
1108,2008,3.3971584699453548
1108,2009,2.329315068493151
1108,2010,2.7271506849315066
1108,2011,3.1997260273972605
1108,2012,2.6910655737704916
1108,2013,3.4221643835616438
1108,2014,3.0814246575342468
1110,1981,3.5539452054794523
1110,1982,2.546027397260274
1110,1983,1.672986301369863
1110,1984,2.8497814207650274
1110,1985,3.2021643835616436
1110,1986,2.5871232876712327
1110,1987,3.082849315068493
1110,1988,2.845409836065574
1110,1989,1.8800000000000001
1110,1990,2.6502465753424658
1110,1991,1.5937260273972604
1110,1992,1.5725683060109288
1110,1993,1.8472602739726027
1110,1994,1.6095616438356164
1110,1995,2.2527397260273974
1110,1996,2.164153005464481
1110,1997,2.0466849315068494
1110,1998,2.1162191780821917
1110,1999,1.6305205479452054
1110,2000,2.3978415300546447
1110,2001,2.212821917808219
1110,2002,1.8013972602739725
1110,2003,1.9415616438356162
1110,2004,3.5457103825136613
1110,2005,3.1913972602739724
1110,2006,3.442767123287671
1110,2007,3.915534246575343
1110,2008,4.517841530054644
1110,2009,2.741369863013699
1110,2010,2.953287671232877
1110,2011,3.513068493150685
1110,2012,2.9784699453551915
1110,2013,3.894657534246575
1110,2014,3.6106575342465757
1111,1981,3.6296712328767122
1111,1982,2.6173424657534246
1111,1983,1.6405479452054794
1111,1984,3.113306010928962
1111,1985,3.6828767123287673
1111,1986,2.843808219178082
1111,1987,3.7356164383561645
1111,1988,3.1097814207650276
1111,1989,2.036246575342466
1111,1990,2.8894794520547946
1111,1991,1.8362465753424657
1111,1992,1.7605737704918032
1111,1993,2.175287671232877
1111,1994,2.0140000000000002
1111,1995,2.621178082191781
1111,1996,2.559918032786885
1111,1997,2.733178082191781
1111,1998,2.473671232876712
1111,1999,1.9478356164383563
1111,2000,2.739808743169399
1111,2001,2.708876712328767
1111,2002,2.1447671232876715
1111,2003,2.4187945205479453
1111,2004,3.1245081967213113
1111,2005,2.9474246575342464
1111,2006,3.3330684931506847
1111,2007,4.118575342465753
1111,2008,4.844699453551913
1111,2009,2.6392328767123288
1111,2010,2.726
1111,2011,3.4163835616438356
1111,2012,2.8863114754098365
1111,2013,3.437780821917808
1111,2014,3.3793972602739726
1112,1981,3.147123287671233
1112,1982,2.188082191780822
1112,1983,1.7433698630136987
1112,1984,2.5310109289617486
1112,1985,2.6871506849315066
1112,1986,2.444958904109589
1112,1987,2.7565205479452053
1112,1988,2.5103551912568305
1112,1989,1.7947671232876714
1112,1990,2.086767123287671
1112,1991,1.5276986301369864
1112,1992,1.3997814207650274
1112,1993,1.636191780821918
1112,1994,1.208767123287671
1112,1995,1.9398356164383561
1112,1996,1.6246448087431695
1112,1997,1.626219178082192
1112,1998,1.6353698630136986
1112,1999,1.366849315068493
1112,2000,1.8465573770491803
1112,2001,1.7108493150684934
1112,2002,1.58186301369863
1112,2003,1.7916986301369864
1112,2004,3.195382513661202
1112,2005,2.8395616438356166
1112,2006,2.92613698630137
1112,2007,3.263452054794521
1112,2008,3.3971584699453548
1112,2009,2.329315068493151
1112,2010,2.7271506849315066
1112,2011,3.1997260273972605
1112,2012,2.6910655737704916
1112,2013,3.4221643835616438
1112,2014,3.0814246575342468
1118,1981,3.5539452054794523
1118,1982,2.546027397260274
1118,1983,1.672986301369863
1118,1984,2.8497814207650274
1118,1985,3.2021643835616436
1118,1986,2.5871232876712327
1118,1987,3.082849315068493
1118,1988,2.845409836065574
1118,1989,1.8800000000000001
1118,1990,2.6502465753424658
1118,1991,1.5937260273972604
1118,1992,1.5725683060109288
1118,1993,1.8472602739726027
1118,1994,1.6095616438356164
1118,1995,2.2527397260273974
1118,1996,2.164153005464481
1118,1997,2.0466849315068494
1118,1998,2.1162191780821917
1118,1999,1.6305205479452054
1118,2000,2.3978415300546447
1118,2001,2.212821917808219
1118,2002,1.8013972602739725
1118,2003,1.9415616438356162
1118,2004,3.5457103825136613
1118,2005,3.1913972602739724
1118,2006,3.442767123287671
