File,Year,Average Data,Is Leap Year
30 best from 1101 c.xlsx,2006,3.652937052,FALSE
30 best from 1101 c.xlsx,2007,3.667943575,FALSE
30 best from 1108 c.xlsx,1981,4.38630137,FALSE
30 best from 1108 c.xlsx,1982,4.464657534,FALSE
30 best from 1108 c.xlsx,1983,5.335616438,FALSE
30 best from 1108 c.xlsx,1984,7.267213115,TRUE
30 best from 1108 c.xlsx,1985,5.786340509,FALSE
30 best from 1108 c.xlsx,1986,4.597260274,FALSE
30 best from 1108 c.xlsx,1987,7.132876712,FALSE
30 best from 1108 c.xlsx,1988,5.315964091,TRUE
30 best from 1108 c.xlsx,1989,5.823835616,FALSE
30 best from 1108 c.xlsx,1990,5.13890411,FALSE
30 best from 1108 c.xlsx,1991,4.263835616,FALSE
30 best from 1108 c.xlsx,1992,4.538797814,TRUE
30 best from 1108 c.xlsx,1993,6.969589041,FALSE
30 best from 1108 c.xlsx,1994,3.765753425,FALSE
30 best from 1108 c.xlsx,1995,5.295890411,FALSE
30 best from 1108 c.xlsx,1996,6.725956284,TRUE
30 best from 1108 c.xlsx,1997,4.205479452,FALSE
30 best from 1108 c.xlsx,1998,6.761643836,FALSE
30 best from 1108 c.xlsx,1999,4.632328767,FALSE
30 best from 1108 c.xlsx,2000,5.629234973,TRUE
30 best from 1108 c.xlsx,2001,4.800547945,FALSE
30 best from 1108 c.xlsx,2002,6.037260274,FALSE
30 best from 1108 c.xlsx,2003,4.456952055,FALSE
30 best from 1108 c.xlsx,2004,6.706830601,TRUE
30 best from 1108 c.xlsx,2005,4.583561644,FALSE
30 best from 1108 c.xlsx,2006,6.84109589,FALSE
30 best from 1108 c.xlsx,2007,6.150082192,FALSE
30 best from 1112 c.xlsx,1981,4.296164384,FALSE
30 best from 1112 c.xlsx,1982,3.833742661,FALSE
30 best from 1112 c.xlsx,1983,4.587438356,FALSE
30 best from 1112 c.xlsx,1984,4.976283177,TRUE
30 best from 1112 c.xlsx,1985,4.259726027,FALSE
30 best from 1112 c.xlsx,1986,3.155068493,FALSE
30 best from 1112 c.xlsx,1987,5.169315068,FALSE
30 best from 1112 c.xlsx,1988,4.242622951,TRUE
30 best from 1112 c.xlsx,1989,4.662465753,FALSE
30 best from 1112 c.xlsx,1990,4.72,FALSE
30 best from 1112 c.xlsx,1991,2.62630137,FALSE
30 best from 1112 c.xlsx,1992,2.306557377,TRUE
30 best from 1112 c.xlsx,1993,5.206027397,FALSE
30 best from 1112 c.xlsx,1994,2.764383562,FALSE
30 best from 1112 c.xlsx,1995,3.151232877,FALSE
30 best from 1112 c.xlsx,1996,5.22295082,TRUE
30 best from 1112 c.xlsx,1997,3.56109589,FALSE
30 best from 1112 c.xlsx,1998,4.970410959,FALSE
30 best from 1112 c.xlsx,1999,6.276712329,FALSE
30 best from 1112 c.xlsx,2000,3.79726776,TRUE
30 best from 1112 c.xlsx,2001,6.276712329,FALSE
30 best from 1112 c.xlsx,2002,4.979178082,FALSE
30 best from 1112 c.xlsx,2003,3.231506849,FALSE
30 best from 1112 c.xlsx,2004,5.139344262,TRUE
30 best from 1112 c.xlsx,2005,2.681643836,FALSE
30 best from 1112 c.xlsx,2006,4.329315068,FALSE
30 best from 1112 c.xlsx,2007,5.88630137,FALSE
30 best from 1112 c.xlsx,2008,4.58989071,TRUE
30 best from 1112 c.xlsx,2009,3.765896934,FALSE
30 best from 806 c.xlsx,1981,3.542538813,FALSE
30 best from 806 c.xlsx,1982,3.668073059,FALSE
30 best from 806 c.xlsx,1983,2.86886758,FALSE
30 best from 806 c.xlsx,1984,3.908091985,TRUE
30 best from 806 c.xlsx,1985,3.940488584,FALSE
30 best from 806 c.xlsx,1986,0,FALSE
30 best from 806 c.xlsx,1987,2.315118721,FALSE
30 best from 806 c.xlsx,1988,5.654959016,TRUE
30 best from 806 c.xlsx,1989,6.809863014,FALSE
30 best from 806 c.xlsx,1990,5.579452055,FALSE
30 best from 806 c.xlsx,1991,2.690958904,FALSE
30 best from 806 c.xlsx,1992,2.539617486,TRUE
30 best from 806 c.xlsx,1993,5.782465753,FALSE
30 best from 806 c.xlsx,1994,3.144657534,FALSE
30 best from 806 c.xlsx,1995,3.66739726,FALSE
30 best from 806 c.xlsx,1996,2.648360656,TRUE
30 best from 806 c.xlsx,1997,2.776438356,FALSE
30 best from 806 c.xlsx,1998,3.052876712,FALSE
30 best from 806 c.xlsx,1999,3.410922374,FALSE
30 best from 806 c.xlsx,2000,1.95,TRUE
30 best from 806 c.xlsx,2001,2.010684932,FALSE
30 best from 806 c.xlsx,2002,1.470136986,FALSE
30 best from 806 c.xlsx,2003,1.688319635,FALSE
